TreeSpecCode,TreeSpecLatin
1,Eucalyptus camaldulensis                                                                            
2,Eucalyptus urophylla x Eucalyptus camaldunensis                                                     
3,Eucalyptus pellita                                                                                  
4,Eucalyptus tereticorrnis                                                                            
5,Eucalyptus camaldulensis                                                                            
6,Eucalyptus tereticornic                                                                             
7,Eucalyptus urophylla                                                                                
9,Lagerstroemia calyculata                                                                            
10,Styrax tonkinensis                                                                                  
11,Litsea glutinosa                                                                                    
12,Litsea vang                                                                                         
13,Ceiba pentandra                                                                                     
14,Dalbergia bariaensis Pierre                                                                         
15,Shorea siamensis                                                                                    
16,Xylia xylocarpa                                                                                     
17,Irvingia malayana Oliv. ex Benn.,                                                                   
18,Ilex kaushue                                                                                        
19,Camellia sinensis san tuyet                                                                         
20,Fructus terminaliae                                                                                 
21,Shorea thorelii Pierre                                                                              
22,Parashorea chinensis wang Hsie                                                                      
23,Dipterocarpus tonkinensis                                                                           
24,Schleichera oleos                                                                                   
25,Spondias cytherea                                                                                   
26,Callophyllum dryobalanoides Pierre.                                                                 
27,Anacardium occidentale L                                                                            
28,Dipterocarrpus alatus                                                                               
29,Dipterocarpus elongatus                                                                             
30,Quercus platycalyx                                                                                  
31,Pasania ducampii                                                                                    
32,Aquilaria crassna                                                                                   
34,Rhizophora mucronata Lamk.                                                                          
35,Rhizophora apiculata                                                                                
36,Neslamarrkai cadamba                                                                                
37,Bombax malabaria                                                                                    
38,Pterocarpus macrocarpus Kurz                                                                        
39,Castanopsis tonkinensis Seen.                                                                       
40,Michelia faveolata                                                                                  
41,Michelia mediocris                                                                                  
42,Afzelia xylocarpa                                                                                   
43,Sindora siamensis                                                                                   
44,Sophora japonica                                                                                    
45,Illicium verum                                                                                      
46,Tarrietia javanica                                                                                  
47,Acacia orassicarpa                                                                                  
48,Acacia auriculiformis                                                                               
49,Acacia hybrid                                                                                       
51,Acacia mangium                                                                                      
52,Hopea pierrei                                                                                       
53,Nageia fleuryi                                                                                      
54,Chukrasia tabularis                                                                                 
55,Cedrela Odorata                                                                                     
56,Erythrophloeum fordii                                                                               
57,Peltophorum inerme (Roxb.) Naves                                                                    
58,Dendrocalamus membranceus                                                                           
59,Avicennia marina Vierh var. rumphiana Bakhuiz                                                       
60,Avicennia marina Vierh var. alba Bakhuiz                                                            
61,Calamus tetradactylus                                                                               
62,Artocarplus hectorophyllus                                                                          
63,Manglietia conifera                                                                                 
64,Cassia siamea                                                                                       
65,Cassia surattensis                                                                                  
66,Azadirachta indica                                                                                  
67,Bischofia                                                                                           
68,Casuarina equisetifolia                                                                             
69,Delonix regia                                                                                       
70,Fokienia hodginsii                                                                                  
71,Cinnamomum cassia                                                                                   
72,Placolobium vietnamense                                                                             
