SeedSourceCode,AcceptedCode,TreeSpecCode,CommuneCode,DistrictCode,ProvinceCode,Area,CompanyCode,TypeOfSeedCode,
5,SD.04.71,7,7237,215,24,0.16,710,2,
6,SD.04.72,2,7234,215,24,0.12,713,2,
8,SD.04.74,49,7237,215,24,0.1,711,2,
9,SD.04.75,49,7585,219,24,0.2,714,2,
10,SD.04.76,49,7237,215,24,0.15,710,2,
11,ST.04.01,111,7525,219,24,5,702,12,
14,SM.04.15,2030,7510,218,24,1,1487,9,
15,SM.04.16,2030,7510,218,24,1,1487,9,
16,SM.04.17,2030,7510,218,24,1,1487,9,
17,SM.04.18,2030,7510,218,24,1,1488,9,
18,SM.04.19,2030,7510,218,24,1,1488,9,
19,SM.04.20,2030,7510,218,24,1,1488,9,
20,SM.04.21,2030,7510,218,24,1,1489,9,
21,SM.04.22,2030,7510,218,24,1,1489,9,
22,SM.04.23,2030,7510,218,24,1,1489,9,
23,SM.04.24,2030,7510,218,24,1,1489,9,
24,SM.04.25,2030,7507,218,24,1,1490,9,
25,SM.04.26,2030,7507,218,24,1,1490,9,
26,SM.04.27,2030,7507,218,24,1,1490,9,
27,SM.04.28,2030,7507,218,24,1,1491,9,
28,SM.04.29,2030,7507,218,24,1,1491,9,
29,SM.04.30,2030,7507,218,24,1,1491,9,
30,SM.04.31,2030,7507,218,24,1,1491,9,
31,SM.04.32,2030,7507,218,24,1,1491,9,
32,SM.04.33,2030,7507,218,24,1,1491,9,
33,SM.04.34,2030,7507,218,24,1,1491,9,
34,SM.04.35,2030,7507,218,24,1,1491,9,
35,SM.04.36,2030,7507,218,24,1,1491,9,
36,SM.04.37,2030,7507,218,24,1,1491,9,
37,SM.04.38,2030,7507,218,24,1,1492,9,
38,SM.04.39,2030,7507,218,24,1,1492,9,
39,SM.04.40,2030,7507,218,24,1,1492,9,
40,SM.04.41,2030,7507,218,24,1,1492,9,
41,SM.04.42,2030,7507,218,24,1,1492,9,
42,SM.04.43,2030,7507,218,24,1,1492,9,
43,SM.04.44,2030,7507,218,24,1,1492,9,
44,SM.04.45,2030,7507,218,24,1,1493,9,
45,SM.04.46,2030,7507,218,24,1,1493,9,
46,SM.04.47,2030,7507,218,24,1,1493,9,
47,SM.04.48,2030,7507,218,24,1,1493,9,
48,SM.04.49,2030,7507,218,24,1,1494,9,
49,SM.04.50,2030,7507,218,24,1,1494,9,
50,SM.04.51,2030,7507,218,24,1,1494,9,
51,SM.04.52,2030,7507,218,24,1,1494,9,
52,SM.04.53,56,7252,215,24,1,1495,9,
53,SM.04.54,56,7252,215,24,1,1495,9,
54,SM.04.55,56,7252,215,24,1,1495,9,
55,SM.04.56,56,7252,215,24,1,1495,9,
79,23-05-01,2028,4492,137,15,28,1450,12,
80,23-05-02,2028,4456,137,15,32,1450,12,
81,ST 11 01,81,4495,137,15,10,1450,12,
82,ST 11 02,74,4492,137,15,5,1450,12,
83,ST 11 03,2028,4594,139,15,23.9,1451,12,
84,ST 11 04,81,4594,139,15,15.9,1451,12,
85,ST 11 05,111,4618,139,15,10,1451,12,
86,ST 11 06,71,4429,136,15,30,1457,12,
87,ST 11 07,63,4414,136,15,3.5,1457,12,
88,SC 11 08,71,4441,136,15,5,1463,11,
107,SC.49.01,35,,787,79,127.45,1502,11,
108,SD.32.04.12,49,19819,476,46,0.18,1388,2,
109,SD.32.05.12,49,19819,476,46,0.12,1388,2,
110,SD.32.05.15,49,19813,474,46,0.21,1387,2,
111,SD.32.06.15,49,20032,480,46,0.24,1387,2,
112,SD.32.07.15,49,20035,480,46,0.1,1387,2,
113,55-04-01,88,19981,479,46,18.1,1387,11,
114,SD.32.18.12,49,19960,479,46,1,1503,2,
115,SD.32.06.12,49,,483,46,0.43,1504,2,
116,SD.32.17.12,49,20038,480,46,1,1505,2,
117,SD.32.14.12,49,20038,480,46,0.4,1506,2,
118,SD.32.02.15,49,19981,479,46,0.25,1506,2,
119,SD.32.03.15,49,,,46,0.43,1506,2,
120,SD.32.04.15,49,20128,482,46,0.42,1506,2,
121,SD.32.09.13,49,19858,476,46,0.32,1507,2,
122,SD.32.02.14,49,19858,476,46,1.22,1507,2,
123,SD.32.07.13,49,20143,482,46,0.27,1508,2,
124,SD.32.06.14,49,20143,482,46,0.42,1508,2,
125,SD.32.07.12,49,20146,482,46,0.58,1509,2,
126,SD.32.08.12,49,20146,482,46,0.27,1509,2,
127,SD.32.09.12,49,20146,482,46,0.37,1509,2,
128,SD.32.10.12,49,20146,482,46,1.52,1509,2,
129,SD.32.11.12,49,20146,482,46,0.95,1509,2,
130,SD.32.12.12,49,20146,482,46,0.82,1509,2,
131,SD.32.03.14,49,20146,482,46,0.18,1509,2,
132,SD.32.04.14,49,20146,482,46,0.09,1509,2,
133,SD.32.05.14,49,20146,482,46,0.13,1509,2,
134,SD.32.13.14,49,20146,482,46,0.32,1509,2,
135,SD.32.10.14,49,20146,482,46,0.4,1510,2,
136,SD.32.11.14,49,20110,482,46,0.2,1510,2,
137,SD.32.01.14,49,20017,480,46,0.21,1511,2,
138,SD.32.01.15,49,20017,480,46,0.06,1511,2,
139,SD.32.19.12,49,19855,476,46,0.2,1512,2,
140,SD.32.20.12,49,20131,482,46,0.2,1513,2,
141,SD.32.21.12,49,20155,482,46,0.48,1514,2,
142,SD.32.01.13,49,20158,482,46,0.01,1515,2,
143,SD.32.02.13,49,20158,482,46,0.04,1515,2,
